prompt,references,greedy,sampled
['Answer the following question shortly according to the context: Who was the man behind The Chipmunks?[SEP] Context: A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: ... Title: Alvin and the Chipmunks (2007) ...[SEP] Answer: '],['david seville'],['Dave Seville'],"['Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville, also known as David Seville, is the man behind The Chipmunks', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville, also known as Ross Bagdasarian Sr', 'Dave Seville, also known as Ross Bagdasarian Sr', 'Dave Seville', 'Dave Seville', 'Dave Seville, also known as Ross Bagdasarian Sr', 'Dave Seville', 'Dave Seville, also known as David Seville, was the man behind The Chipmunks', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville, also known as Ross Bagdasarian Sr', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville', 'Dave Seville']"
"['Answer the following question shortly according to the context: Which Lloyd Webber musical premiered in the US on 10th December 1993?[SEP] Context: The official website for Andrew Lloyd Webber, ... from the Andrew Lloyd Webber/Jim Steinman musical Whistle ... American premiere on 9th December 1993 at the ...[SEP] Answer: ']","['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd']",['Evita'],"['1993-12-09T00:00:00Whistle Down the Wind', '1993-12-09T00:00:00Z', 'Evita', '', '', 'Evita', '', 'Evita', '', '1', 'Evita', '1993, the American premiere of Whistle Down the Wind, a musical written by Andrew Lloyd Webber and Jim Steinman, took place on December 9th', '1', '', '1993', 'Evita', '', 'Evita', 'Evita', 'Evita', '1993, Whistle Down the Wind', 'Evita', 'Evita', '', 'Evita', 'Evita', 'Evita', '1993, the musical ""Whistle Down the Wind"" premiered in the US on December 9th', 'Evita', '1']"
['Answer the following question shortly according to the context: Who was the next British Prime Minister after Arthur Balfour?[SEP] Context: Arthur Balfour; British History > Conservatives > ... Prime Ministers > Arthur Balfour Primary Sources Arthur Balfour.[SEP] Answer: '],"['henry campbell bannerman', 'sir henry campbell bannerman', 'campbell bannerman']","['Arthur James Balfour, 1st Earl of Balfour, KG, OM, PC (7 July 1848 – 19 March 1930) was a British politician who served as Prime Minister of the United Kingdom from 1902 to 1905']","['', 'Arthur James Balfour, 1st Earl of Balfour, KG, OM, PC (7 July 1848 – 19 March 1930) was a British politician who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour, (1848-1930) was a British statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour, GCH (25 July 1848 – 19 March 1930) was a British statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'The next British Prime Minister after Arthur Balfour was David Lloyd George, who served from 1916 to 1922', 'Arthur James Balfour, 1st Earl of Balfour, PC (25 July 1848 – 19 March 1930) was a British politician who served as Prime Minister of the United Kingdom from 1902 to 1905', 'David Lloyd George was the next British Prime Minister after Arthur Balfour', 'Lloyd George', 'Lord Salisbury was the next British Prime Minister after Arthur Balfour', 'Arthur James Balfour, 1st Earl of Balfour, KG, OM, PC (7 July 1848 – 19 March 1930) was a British statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Lloyd George', 'Arthur James Balfour (1848-1930) was a British politician who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour, KG, OM, PC (7 July 1848 – 19 March 1930) was a British Conservative politician who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Lord Salisbury was the next British Prime Minister after Arthur Balfour', '', 'Arthur James Balfour, 1st Earl of Balfour, KG, OM, PC (7 July 1848 – 19 March 1930) was a British politician and statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'The next British Prime Minister after Arthur Balfour was Harold Macmillan, who served as Prime Minister from 1957 to 1963', 'Arthur James Balfour, 1st Earl of Balfour, PC (25 July 1848 – 19 March 1930) was a British statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour, (1848-1930) was a British statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Lloyd George was the next British Prime Minister after Arthur Balfour', 'Arthur James Balfour, 1st Earl of Balfour, KG, OM, PC (7 July 1848 – 19 March 1930) was a British politician who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour, (1848-1930) was a British statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Lord Salisbury was the next British Prime Minister after Arthur Balfour', 'Arthur James Balfour, 1st Earl of Balfour, (1848-1930) was a British statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour, GCVO, PC (7 July 1848 – 19 March 1930) was a British politician who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour (1848-1930) was a British statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Lord Salisbury was the next British Prime Minister after Arthur Balfour', 'Arthur James Balfour, 1st Earl of Balfour, PC (25 July 1848 – 19 March 1930) was a British politician who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour, (1848-1930) was a British politician and statesman who served as Prime Minister of the United Kingdom from 1902 to 1905', 'Arthur James Balfour, 1st Earl of Balfour, (7 July 1848 – 19 March 1930) was a British politician who served as Prime Minister of the United Kingdom from 1902 to 1905']"
"['Answer the following question shortly according to the context: Who had a 70s No 1 hit with Kiss You All Over?[SEP] Context: ... I need you, yeah I wanna kiss you all over ... Robert John ""Sad Eyes"" (1979 - #1 hit ... 199 videos Play all Greatest hits of the 70\'s Chase ...[SEP] Answer: ']","['exiles', 'voluntary exile', 'forced exile', 'banish', 'self exile', 'exile politics and government', 'exile in greek tragedy', 'sent into exile', 'banishment', 'transported for life', 'exile', 'internal exile', 'exile and banishment']","['Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979']","['Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John ""Sad Eyes"" had a No', 'Robert John had a No 1 hit with ""Sad Eyes"" in 1979', 'Robert John ""Sad Eyes"" had a 70s No 1 hit with ""Kiss You All Over"" in 1979', 'Robert John ""Sad Eyes"" had a 70s No 1 hit with ""Kiss You All Over"" in 1979', 'Robert John had a No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes""', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes""', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a No', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John ""Sad Eyes"" had a No', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John ""Sad Eyes"" had a 70s No 1 hit with Kiss You All Over in 1979', 'Robert John had a 70s No 1 hit with ""Sad Eyes""', 'Robert John had a 70s No 1 hit with ""Sad Eyes"" in 1979', 'Robert John had a No 1 hit with ""Sad Eyes"" in 1979']"
"['Answer the following question shortly according to the context: What claimed the life of singer Kathleen Ferrier?[SEP] Context: ... Kathleen Ferrier became a professional singer, ... the cancer against which she had valiantly struggled for the last years of her life. ... Ferrier, Kathleen ...[SEP] Answer: ']","['aids related cancer', 'sporadic cancer', 'cancer disease', 'malignant tumors', 'cancers', 'carcinophobia', 'cancer', 'cancer diagnosis', 'malignant neoplastic disease', 'malignant neoplasm', 'tumour virus', 'cancer medicine', 'deaths by cancer', 'malignant tumour', 'epithelial cancers', 'solid cancer', 'cancerous', 'borderline cancer', 'invasive cancer', 'anti cancer', 'cancer pathology', 'cancer signs', 'cancer aromatase', 'cancer therapy', 'financial toxicity', 'cancerophobia', 'cancer en cuirasse', 'cancer patient', 'cancerous tumor', 'malignant cancer', 'malignant neoplasms', 'tumor medication', 'signs of cancer', 'malignacy', 'malignant tumor', 'cancer medication', 'microtumor', 'malignancies', 'malignant lesion', 'malignant growth']",['Cancer'],"['1953', '1953', 'Cancer', 'Cancer', 'Kathleen Ferrier died of cancer', 'Cancer', '1953', 'Cancer', 'Kathleen Ferrier died of cancer', 'Cancer', 'Cancer', 'Kathleen Ferrier died from cancer', 'Kathleen Ferrier died of cancer', 'Kathleen Ferrier died of cancer', 'Cancer', 'Kathleen Ferrier died of cancer', 'Cancer', 'Kathleen Ferrier died of cancer', '1953', 'Cancer', 'Cancer', 'Kathleen Ferrier died of cancer', 'Cancer', 'Kathleen Ferrier died of cancer', 'Kathleen Ferrier died of cancer', 'Cancer', 'Kathleen Ferrier died from cancer', 'Cancer', 'Cancer', '1953']"
['Answer the following question shortly according to the context: Rita Coolidge sang the title song for which Bond film?[SEP] Context: ... Rita Coolidge Performing The title track to the JAMES BOND film OCTOPUSSY. Clip from THE VAL DOONICAN MUSIC SHOW 1983 Featuring Rita Coolidge ... HIGH ...[SEP] Answer: '],"['list of bond girls in octopussy', 'bond 13', 'list of james bond allies in octopussy', 'magda james bond', 'penelope smallbone', 'kamal kahn', 'octopussy', 'list of james bond villains in octopussy', 'vijay james bond', 'jim fanning james bond', 'general orlov', 'kamal khan', 'octopussy character', 'octopussy film']",['Octopussy'],"['1983', 'Octopussy', '1983', 'Octopussy', '1983', 'Octopussy', '1983', '007: Octopussy', '007: Octopussy', 'Octopussy', '1983', 'Octopussy', 'Octopussy', 'Octopussy', 'Octopussy', 'Octopussy', '007 - Octopussy', 'Octopussy', '007 - Octopussy', '1983', '007', 'Octopussy', '007: Octopussy', '007: Octopussy', '1983', '007: Octopussy', 'Octopussy', 'Octopussy', '1983', '007']"
"['Answer the following question shortly according to the context: What was the last US state to reintroduce alcohol after prohibition?[SEP] Context: ... after the United States entered World War I, ... Though a few states continued to prohibit alcohol after Prohibition’s end, all had abandoned the ban by 1966.[SEP] Answer: ']","['history of mining in utah', 'geography of utah', '45th state', 'utah united states', 'youtah', 'us ut', 'transportation in utah', 'utahn', 'state of utah', 'beehive state', 'salt lake seagulls', 'transport in utah', 'utah state', 'politics of utah', 'utah state nickname', 'forty fifth state', 'religion in utah', 'ut state', 'sports in utah', 'climate of utah', 'education in utah', 'utah', 'utahan', 'yutas', 'history of utah to 1847', 'utah u s state']","['Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1966']","['Montana was the last US state to reintroduce alcohol after Prohibition, doing so in 1966', 'Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1966', 'Minnesota was the last US state to reintroduce alcohol after prohibition, abandoning the ban by 1966', 'Minnesota was the last US state to reintroduce alcohol after prohibition, doing so in 1934', 'Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1966', 'Utah was the last US state to reintroduce alcohol after prohibition, abandoning the ban in 1985', '1966', 'Utah was the last US state to reintroduce alcohol after prohibition, abandoning the ban in 1985', 'Minnesota was the last US state to reintroduce alcohol after prohibition, abandoning the ban by 1966', 'Utah was the last US state to reintroduce alcohol after Prohibition, doing so in 1985', 'Minnesota was the last US state to reintroduce alcohol after prohibition, abandoning the ban by 1966', 'Minnesota was the last US state to reintroduce alcohol after prohibition, abandoning the ban in 1966', 'Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1933, the same year as the 21st Amendment repealed the 18th Amendment and ended Prohibition nationwide', '1966', '1966 is the last US state to reintroduce alcohol after Prohibition', 'Minnesota was the last US state to reintroduce alcohol after prohibition, doing so in 1933, the same year as the 21st Amendment was ratified, effectively ending Prohibition', 'Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1966', 'Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1966', 'Minnesota was the last US state to reintroduce alcohol after prohibition, abandoning the ban in 1966', '1966', 'Montana was the last US state to reintroduce alcohol after Prohibition, doing so in 1966', 'Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1966', 'Utah was the last US state to reintroduce alcohol after Prohibition, doing so in 1985', '1966', '1966', 'Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1966', '1966 is the last US state to reintroduce alcohol after prohibition', 'Minnesota was the last US state to reintroduce alcohol after prohibition, doing so in 1966', 'Minnesota was the last US state to reintroduce alcohol after prohibition, abandoning the ban by 1966', 'Minnesota was the last US state to reintroduce alcohol after Prohibition, doing so in 1934']"
['Answer the following question shortly according to the context: Which actress was voted Miss Greenwich Village in 1942?[SEP] Context: Actress Lauren Bacall dead ... She got her first small Broadway role in the 1942 show “Johnny 2 x 4.” She was also voted Miss Greenwich Village that ...[SEP] Answer: '],"['lauren becall', 'loren bacall', 'lauren becal', 'lauren bacall', 'betty j perske', 'betty perske', 'betty joan perske', 'bacall', 'betty joan perski']",['Lauren Bacall was voted Miss Greenwich Village in 1942'],"['Lauren Bacall', 'Lauren Bacall', 'Lauren Bacall', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall', 'Lauren Bacall', 'Lauren Bacall', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall', 'Lauren Bacall', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall was voted Miss Greenwich Village in 1942', 'Lauren Bacall', 'Lauren Bacall was voted Miss Greenwich Village in 1942']"
"['Answer the following question shortly according to the context: What is the Japanese share index called?[SEP] Context: BREAKING DOWN \'Nikkei\' Originally called the Nikkei Dow Jones Stock Average (from 1975 to 1985), it is now named for the ""Nihon Keizai Shimbun"" or Japan Economic ...[SEP] Answer: ']","['nikkei disambiguation', 'nikkei']",['Nikkei'],"['Nikkei', 'The Japanese stock index is called the Nikkei 225', 'The Japanese stock index is called the Nikkei', 'Nikkei', 'Nikkei', 'The Japanese share index is called the Nikkei', 'The Japanese share index is called the Nikkei 225', 'Nikkei', 'Nikkei', 'The Japanese stock market index is called the Nikkei 225', 'Nikkei', 'Nikkei', 'The Japanese stock market index is called the Nikkei 225', 'Nikkei', 'The Japanese stock index is called the Nikkei 225', 'The Japanese share index is called the Nikkei', 'Nikkei', 'Nikkei', 'Nikkei', 'Nikkei', 'The Japanese stock index is called the Nikkei', 'The Japanese stock market index is called the Nikkei 225', 'The Japanese share index is called the Nikkei', 'Nikkei', 'Nikkei', 'The Japanese share index is called the Nikkei', 'The Japanese stock market index is called the Nikkei 225', 'Nikkei', 'The Japanese share index is called the Nikkei', 'The Japanese stock index is called the Nikkei']"
"['Answer the following question shortly according to the context: What was the name of Michael Jackson\'s autobiography written in 1988?[SEP] Context: Birth Name: Michael Joseph Jackson: ... Jackson wrote in his 1988 autobiography ""Moon Walk"" that he only had two rhinoplastic ... Michael Jackson was a fan of the ...[SEP] Answer: ']","['moon walk', 'lunar walks', 'moonwalks', 'moonwalk disambiguation', 'lunar walking', 'moonwalking', 'lunar walk', 'walk on moon', 'moon walks', 'moon walking', 'moonwalk']",['Moonwalk'],"['Moonwalk', 'Moon Walk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moon Walk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moon Walk', 'Moon Walk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moonwalk', 'Moon Walk']"
